#VisAO r-prime
#Effective wavelength =      0.62645846 microns
#Effective width =       0.11159971 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.603000     0.916753     0.819467     0.819467
     0.603500     0.918194     0.821435     0.821435
     0.604000     0.919710     0.823473     0.823473
     0.604500     0.921138     0.825434     0.825434
     0.605000     0.922652     0.827475     0.827475
     0.605500     0.924138     0.829493     0.829493
     0.606000     0.925630     0.831518     0.831518
     0.606500     0.927175     0.833593     0.833593
     0.607000     0.928620     0.835581     0.835581
     0.607500     0.930138     0.837636     0.837636
     0.608000     0.931553     0.839601     0.839601
     0.608500     0.932979     0.841578     0.841578
     0.609000     0.934505     0.843647     0.843647
     0.609500     0.935829     0.845535     0.845535
     0.610000     0.937293     0.847553     0.847553
     0.610500     0.938487     0.849328     0.849328
     0.611000     0.939617     0.851047     0.851047
     0.611500     0.940811     0.852826     0.852826
     0.612000     0.942020     0.854620     0.854620
     0.612500     0.942875     0.856094     0.856094
     0.613000     0.941102     0.855182     0.855182
     0.613500     0.940640     0.855460     0.855460
     0.614000     0.941822     0.857233     0.857233
     0.614500     0.942957     0.858965     0.858965
     0.615000     0.944099     0.860705     0.860705
     0.615500     0.945200     0.862409     0.862409
     0.616000     0.946347     0.864157     0.864157
     0.616500     0.947675     0.866072     0.866072
     0.617000     0.948502     0.867531     0.867531
     0.617500     0.949534     0.869179     0.869179
     0.618000     0.950507     0.870774     0.870774
     0.618500     0.951459     0.872351     0.872351
     0.619000     0.952400     0.873919     0.873919
     0.619500     0.953345     0.875493     0.875493
     0.620000     0.954295     0.877073     0.877073
     0.620500     0.955498     0.878888     0.878888
     0.621000     0.954814     0.878966     0.878966
     0.621500     0.953794     0.878734     0.878734
     0.622000     0.954884     0.880446     0.880446
     0.622500     0.955966     0.882152     0.882152
     0.623000     0.956961     0.883780     0.883780
     0.623500     0.957932     0.885387     0.885387
     0.624000     0.958985     0.887070     0.887070
     0.624500     0.959955     0.888679     0.888679
     0.625000     0.960879     0.890247     0.890247
     0.625500     0.961847     0.891856     0.891856
     0.626000     0.962763     0.893419     0.893419
     0.626500     0.963595     0.894905     0.894905
     0.627000     0.964443     0.896408     0.896408
     0.627500     0.965245     0.897869     0.897869
     0.628000     0.966052     0.899336     0.899336
     0.628500     0.966839     0.900785     0.900785
     0.629000     0.967566     0.902179     0.902179
     0.629500     0.968251     0.903536     0.903536
     0.630000     0.968946     0.904902     0.904902
     0.630500     0.969230     0.905886     0.905886
     0.631000     0.969495     0.906852     0.906852
     0.631500     0.969702     0.907764     0.907764
     0.632000     0.969925     0.908692     0.908692
     0.632500     0.970062     0.909540     0.909540
     0.633000     0.970213     0.910400     0.910400
     0.633500     0.970325     0.911225     0.911225
     0.634000     0.970358     0.911975     0.911975
     0.634500     0.970451     0.912782     0.912782
     0.635000     0.970450     0.913499     0.913499
     0.635500     0.970455     0.914224     0.914224
     0.636000     0.970518     0.915002     0.915002
     0.636500     0.970453     0.915660     0.915660
     0.637000     0.970720     0.916632     0.916632
     0.637500     0.970364     0.917015     0.917015
     0.638000     0.970251     0.917628     0.917628
     0.638500     0.970159     0.918259     0.918259
     0.639000     0.968131     0.917058     0.917058
     0.639500     0.965778     0.915545     0.915545
     0.640000     0.965634     0.916124     0.916124
     0.640500     0.965551     0.916761     0.916761
     0.641000     0.965432     0.917363     0.917363
     0.641500     0.965351     0.918002     0.918002
     0.642000     0.965340     0.918706     0.918706
     0.642500     0.965197     0.919286     0.919286
     0.643000     0.965091     0.919900     0.919900
     0.643500     0.965004     0.920533     0.920533
     0.644000     0.964956     0.921202     0.921202
     0.644500     0.964942     0.921904     0.921904
     0.645000     0.964910     0.922589     0.922589
     0.645500     0.964948     0.923341     0.923341
     0.646000     0.964912     0.924021     0.924021
     0.646500     0.964993     0.924813     0.924813
     0.647000     0.965092     0.925624     0.925624
     0.647500     0.965314     0.926552     0.926552
     0.648000     0.965458     0.927406     0.927406
     0.648500     0.965742     0.928395     0.928395
     0.649000     0.965934     0.929295     0.929295
     0.649500     0.966275     0.930339     0.930339
     0.650000     0.966683     0.931449     0.931449
     0.650500     0.966892     0.932367     0.932367
     0.651000     0.967115     0.933299     0.933299
     0.651500     0.967433     0.934323     0.934323
     0.652000     0.967795     0.935390     0.935390
     0.652500     0.968247     0.936544     0.936544
     0.653000     0.968659     0.937660     0.937660
     0.653500     0.969128     0.938833     0.938833
     0.654000     0.969676     0.940083     0.940083
     0.654500     0.970271     0.941379     0.941379
     0.655000     0.970772     0.942584     0.942584
     0.655500     0.971236     0.943755     0.943755
     0.656000     0.970623     0.943879     0.943879
     0.656500     0.968174     0.942214     0.942214
     0.657000     0.968207     0.942964     0.942964
     0.657500     0.968855     0.944313     0.944313
     0.658000     0.969543     0.945703     0.945703
     0.658500     0.970122     0.946986     0.946986
     0.659000     0.970854     0.948421     0.948421
     0.659500     0.971608     0.949877     0.949877
     0.660000     0.972231     0.951206     0.951206
     0.660500     0.973029     0.952709     0.952709
     0.661000     0.973840     0.954225     0.954225
     0.661500     0.974611     0.955703     0.955703
     0.662000     0.975531     0.957328     0.957328
     0.662500     0.976311     0.958817     0.958817
     0.663000     0.977207     0.960421     0.960421
     0.663500     0.978046     0.961970     0.961970
     0.664000     0.979039     0.963673     0.963673
     0.664500     0.980099     0.965443     0.965443
     0.665000     0.981069     0.967125     0.967125
     0.665500     0.982193     0.968962     0.968962
     0.666000     0.983526     0.971005     0.971005
     0.666500     0.984344     0.972542     0.972542
     0.667000     0.985646     0.974560     0.974560
     0.667500     0.986879     0.976510     0.976510
     0.668000     0.988262     0.978611     0.978611
     0.668500     0.987413     0.978502     0.978502
     0.669000     0.987014     0.978838     0.978838
     0.669500     0.988529     0.981074     0.981074
     0.670000     0.990127     0.983393     0.983393
     0.670500     0.991582     0.985574     0.985574
     0.671000     0.993168     0.987886     0.987886
     0.671500     0.994697     0.990144     0.990144
     0.672000     0.996206     0.992385     0.992385
     0.672500     0.997555     0.994467     0.994467
     0.673000     0.998632     0.996281     0.996281
     0.673500     0.999463     0.997852     0.997852
     0.674000      1.00000     0.999129     0.999129
     0.674500     0.999993     0.999862     0.999862
     0.675000     0.999389      1.00000      1.00000
     0.675500     0.998059     0.999408     0.999408
     0.676000     0.995701     0.997786     0.997786
     0.676500     0.992266     0.995079     0.995079
     0.677000     0.987393     0.990924     0.990924
     0.677500     0.981015     0.985250     0.985250
     0.678000     0.972687     0.977607     0.977607
     0.678500     0.962062     0.967642     0.967642
     0.679000     0.947330     0.953526     0.953526
     0.679500     0.929316     0.936083     0.936083
     0.680000     0.911013     0.918322     0.918322
     0.680500     0.889141     0.896934     0.896934
     0.681000     0.864808     0.873028     0.873028
     0.681500     0.836978     0.845554     0.845554
     0.682000     0.805805     0.814659     0.814659
     0.682500     0.772370     0.781429     0.781429
     0.683000     0.736558     0.745743     0.745743
     0.683500     0.698644     0.707874     0.707874
     0.684000     0.659274     0.668472     0.668472
     0.684500     0.618991     0.628086     0.628086
     0.685000     0.577623     0.586539     0.586539
     0.685500     0.536335     0.545011     0.545011
     0.686000     0.496424     0.504822     0.504822
     0.686500     0.456934     0.465003     0.465003
     0.687000     0.418704     0.426409     0.426409
     0.687500     0.383088     0.390421     0.390421
     0.688000     0.348859     0.355795     0.355795
     0.688500     0.316339     0.322863     0.322863
     0.689000     0.286718     0.292844     0.292844
     0.689500     0.259051     0.264777     0.264777
     0.690000     0.233980     0.239326     0.239326
     0.690500     0.210454     0.215418     0.215418
     0.691000     0.189046     0.193645     0.193645
     0.691500     0.170021     0.174283     0.174283
     0.692000     0.152861     0.156807     0.156807
     0.692500     0.137650     0.141305     0.141305
     0.693000     0.123699     0.127075     0.127075
     0.693500     0.111187     0.114304     0.114304
     0.694000     0.100205     0.103089     0.103089
     0.694500    0.0901696    0.0928312    0.0928312
     0.695000    0.0810906    0.0835443    0.0835443
     0.695500    0.0731446    0.0754121    0.0754121
     0.696000    0.0659171    0.0680094    0.0680094
     0.696500    0.0595465    0.0614807    0.0614807
     0.697000    0.0538019    0.0555894    0.0555894
     0.697500    0.0486745    0.0503278    0.0503278
     0.698000    0.0440284    0.0455565    0.0455565
     0.698500    0.0398713    0.0412846    0.0412846
     0.699000    0.0362232    0.0375340    0.0375340
     0.699500    0.0328170    0.0340290    0.0340290
     0.700000    0.0297542    0.0308750    0.0308750
     0.700500    0.0271006    0.0281416    0.0281416
     0.701000    0.0246842    0.0256507    0.0256507
     0.701500    0.0224835    0.0233805    0.0233805
     0.702000    0.0205122    0.0213457    0.0213457
     0.702500    0.0187462    0.0195219    0.0195219
     0.703000    0.0171632    0.0178861    0.0178861
     0.703500    0.0157122    0.0163856    0.0163856
     0.704000    0.0144121    0.0150405    0.0150405
     0.704500    0.0132057    0.0137913    0.0137913
     0.705000    0.0121267    0.0126734    0.0126734
     0.705500    0.0111623    0.0116738    0.0116738
     0.706000    0.0102670    0.0107451    0.0107451
     0.706500   0.00945157   0.00989869   0.00989869
     0.707000   0.00872789   0.00914725   0.00914725
     0.707500   0.00804503   0.00843754   0.00843754
     0.708000   0.00740938   0.00777637   0.00777637
     0.708500   0.00684545   0.00718958   0.00718958
     0.709000   0.00633029   0.00665322   0.00665322
     0.709500   0.00586820   0.00617190   0.00617190
     0.710000   0.00544427   0.00573006   0.00573006
     0.710500   0.00504778   0.00531651   0.00531651
     0.711000   0.00468650   0.00493946   0.00493946
     0.711500   0.00435099   0.00458906   0.00458906
     0.712000   0.00405062   0.00427526   0.00427526
     0.712500   0.00377004   0.00398192   0.00398192
     0.713000   0.00350890   0.00370870   0.00370870
     0.713500   0.00327439   0.00346326   0.00346326
     0.714000   0.00305389   0.00323231   0.00323231
     0.714500   0.00284843   0.00301695   0.00301695
     0.715000   0.00266316   0.00282270   0.00282270
     0.715500   0.00248888   0.00263983   0.00263983
     0.716000   0.00232801   0.00247093   0.00247093
     0.716500   0.00217771   0.00231301   0.00231301
     0.717000   0.00203554   0.00216352   0.00216352
     0.717500   0.00190537   0.00202658   0.00202658
     0.718000   0.00178559   0.00190050   0.00190050
     0.718500   0.00167981   0.00178915   0.00178915
     0.719000   0.00157604   0.00167980   0.00167980
     0.719500   0.00148194   0.00158061   0.00158061
     0.720000   0.00139451   0.00148839   0.00148839
     0.720500   0.00131412   0.00140356   0.00140356
     0.721000   0.00123624   0.00132129   0.00132129
     0.721500   0.00116600   0.00124708   0.00124708
     0.722000   0.00109688   0.00117397   0.00117397
     0.722500   0.00103682   0.00111046   0.00111046
     0.723000  0.000981301   0.00105172   0.00105172
     0.723500  0.000927243  0.000994475  0.000994475
     0.724000  0.000875664  0.000939805  0.000939805
     0.724500  0.000828333  0.000889621  0.000889621
     0.725000  0.000783218  0.000841748  0.000841748
     0.725500  0.000741898  0.000797891  0.000797891
     0.726000  0.000700038  0.000753390  0.000753390
     0.726500  0.000664154  0.000715263  0.000715263
     0.727000  0.000630763  0.000679770  0.000679770
     0.727500  0.000596856  0.000643671  0.000643671
     0.728000  0.000569717  0.000614826  0.000614826
     0.728500  0.000540199  0.000583372  0.000583372
     0.729000  0.000512126  0.000553434  0.000553434
     0.729500  0.000486982  0.000526623  0.000526623
     0.730000  0.000464657  0.000502825  0.000502825
     0.730500  0.000441238  0.000477810  0.000477810
     0.731000  0.000420852  0.000456045  0.000456045
     0.731500  0.000401805  0.000435704  0.000435704
     0.732000  0.000382450  0.000415000  0.000415000
     0.732500  0.000365168  0.000396517  0.000396517
     0.733000  0.000348833  0.000379038  0.000379038
     0.733500  0.000333931  0.000363094  0.000363094
     0.734000  0.000317512  0.000345476  0.000345476
     0.734500  0.000302761  0.000329650  0.000329650
     0.735000  0.000290182  0.000316170  0.000316170
     0.735500  0.000276397  0.000301354  0.000301354
     0.736000  0.000265165  0.000289305  0.000289305
     0.736500  0.000254203  0.000277533  0.000277533
     0.737000  0.000242890  0.000265362  0.000265362
     0.737500  0.000233883  0.000255695  0.000255695
     0.738000  0.000225142  0.000246306  0.000246306
     0.738500  0.000215390  0.000235796  0.000235796
     0.739000  0.000207812  0.000227654  0.000227654
     0.739500  0.000197528  0.000216535  0.000216535
     0.740000  0.000190062  0.000208492  0.000208492
     0.740500  0.000181111  0.000198807  0.000198807
     0.741000  0.000176932  0.000194351  0.000194351
     0.741500  0.000169490  0.000186301  0.000186301
     0.742000  0.000162337  0.000178560  0.000178560
     0.742500  0.000155758  0.000171438  0.000171438
     0.743000  0.000150169  0.000165398  0.000165398
     0.743500  0.000144355  0.000159101  0.000159101
     0.744000  0.000139295  0.000153627  0.000153627
     0.744500  0.000134282  0.000148198  0.000148198
     0.745000  0.000130368  0.000143976  0.000143976
     0.745500  0.000124588  0.000137684  0.000137684
     0.746000  0.000120132  0.000132849  0.000132849
     0.746500  0.000115957  0.000128318  0.000128318
     0.747000  0.000111904  0.000123916  0.000123916
     0.747500  0.000109529  0.000121367  0.000121367
     0.748000  0.000107059  0.000118710  0.000118710
     0.748500  9.84108e-05  0.000109193  0.000109193
     0.749000  9.88424e-05  0.000109745  0.000109745
     0.749500  9.59550e-05  0.000106611  0.000106611
     0.750000  9.26362e-05  0.000102992  0.000102992
     0.750500  8.94314e-05  9.94952e-05  9.94952e-05
     0.751000  8.52593e-05  9.49169e-05  9.49169e-05
     0.751500  8.36236e-05  9.31579e-05  9.31579e-05
     0.752000  8.05074e-05  8.97460e-05  8.97460e-05
     0.752500  7.99184e-05  8.91487e-05  8.91487e-05
     0.753000  7.91339e-05  8.83322e-05  8.83322e-05
     0.753500  7.42009e-05  8.28808e-05  8.28808e-05
     0.754000  7.29605e-05  8.15494e-05  8.15494e-05
     0.754500  7.23707e-05  8.09438e-05  8.09438e-05
     0.755000  6.77053e-05  7.57759e-05  7.57759e-05
     0.755500  6.65927e-05  7.45801e-05  7.45801e-05
     0.756000  6.51689e-05  7.30338e-05  7.30338e-05
     0.756500  6.01983e-05  6.75079e-05  6.75079e-05
     0.757000  5.89557e-05  6.61582e-05  6.61582e-05
     0.757500  5.76529e-05  6.47389e-05  6.47389e-05
     0.758000  5.79395e-05  6.51037e-05  6.51037e-05
     0.758500  5.40191e-05  6.07385e-05  6.07385e-05
     0.759000  5.56112e-05  6.25699e-05  6.25699e-05
     0.759500  5.20069e-05  5.85532e-05  5.85532e-05
     0.760000  4.98936e-05  5.62108e-05  5.62108e-05
     0.760500  4.89016e-05  5.51295e-05  5.51295e-05
     0.761000  4.68026e-05  5.27978e-05  5.27978e-05
     0.761500  4.60797e-05  5.20165e-05  5.20165e-05
     0.762000  4.63192e-05  5.23212e-05  5.23212e-05
     0.762500  4.55798e-05  5.15197e-05  5.15197e-05
     0.763000  4.34643e-05  4.91608e-05  4.91608e-05
     0.763500  4.16154e-05  4.71005e-05  4.71005e-05
     0.764000  4.14775e-05  4.69750e-05  4.69750e-05
     0.764500  3.90916e-05  4.43019e-05  4.43019e-05
     0.765000  3.95395e-05  4.48388e-05  4.48388e-05
     0.765500  3.83172e-05  4.34811e-05  4.34811e-05
     0.766000  3.65166e-05  4.14649e-05  4.14649e-05
