16292.4 -30.7617 9.23451  0.333185 0.343063
16393.5 13.498 3.59395  0.330919 0.343858
15252.4 -8.67545 -7.03243  0.357399 0.340435
15512.6 -2.55941 -15.7853  0.35118 0.339161
18686.4 -31.6214 -11.5912  0.283496 0.33197
15266 19.7756 28.302  0.35707 0.3388
14620.7 2.62966 25.928  0.372959 0.336884
16215.3 1.99811 23.5242  0.334922 0.33628
15313.4 52.7894 33.401  0.355932 0.33743
16337.2 -25.7775 25.7112  0.332179 0.337336
18754 4.73889 14.0451  0.282208 0.335124
17422.9 16.81 17.3356  0.30872 0.336447
16846.1 34.5605 13.8841  0.32097 0.339023
17088 5.02582 10.3032  0.315774 0.336767
15519.7 15.6255 -1.36511  0.351012 0.33867
18429.5 -13.6538 -0.654673  0.288453 0.334673
16858.9 10.0639 -10.9884  0.320692 0.334089
19662.3 -0.594302 30.5333  0.265434 0.328484
16702.7 6.30427 61.3926  0.32409 0.32566
16530.2 14.5955 44.711  0.327881 0.326562
19574.3 -57.529 18.6327  0.267014 0.321258
16635.4 0.723504 16.688  0.325564 0.318938
18682.8 3.82633 22.1722  0.283565 0.315923
16242.2 18.3029 8.67992  0.334314 0.315162
18619.3 -7.131 4.54524  0.284783 0.311125
13041.9 47.7229 25.6998  0.414871 0.317939
16673.1 23.4408 -8.03768  0.324737 0.317097
17246.1 1.54982 30.5994  0.312424 0.317456
15942.2 -3.63225 64.2249  0.34115 0.320994
20633 36.912 37.646  0.248611 0.316405
20397.1 27.7261 38.5769  0.252598 0.317235
20743.3 0.39654 39.0325  0.246767 0.313761
18497.2 -2.60769 51.8098  0.287138 0.315321
22161.3 7.84774 22.6456  0.224256 0.309048
18175.7 31.2754 28.9569  0.293433 0.305244
20259.2 -24.9848 6.53252  0.254959 0.301615
16460.3 0.421372 8.77186  0.329431 0.298436
16751.2 -4.19261 -3.14646  0.323031 0.29703
21505.4 7.10871 22.074  0.234402 0.288414
20288.5 8.7302 31.2333  0.254456 0.288517
17824.7 18.853 27.3905  0.300465 0.283129
16109.3 19.0492 10.3992  0.337325 0.28414
16210.1 -24.0648 18.4498  0.33504 0.286669
16916.6 3.93082 42.1834  0.319445 0.286172
18832.5 29.1628 29.4249  0.280715 0.289121
18335.1 -6.5328 32.2872  0.290296 0.292706
17743.7 11.6713 18.0029  0.30211 0.297454
16199.1 29.6996 17.7407  0.335289 0.299955
16127.7 -10.5843 25.5969  0.336907 0.306289
20208.4 40.9024 66.0545  0.255835 0.304053
17110.7 6.51763 60.7928  0.315291 0.3096
16846.5 21.6074 8.09095  0.32096 0.310249
14181.5 28.9698 12.1826  0.384173 0.312604
15947.6 11.4668 -2.14096  0.341025 0.316299
19135.5 -16.5682 2.22025  0.275038 0.317363
17561.9 -3.06241 16.4828  0.305839 0.319635
17078.3 -2.36901 35.9179  0.31598 0.319929
14894.9 -48.1525 52.2902  0.366124 0.322611
19270.7 -22.5615 56.8336  0.272539 0.319507
18256.3 -21.7958 43.6846  0.291843 0.320942
16508.8 -13.2184 13.5405  0.328357 0.322917
19615.1 -8.61401 7.37431  0.266281 0.320722
18255.7 -8.7966 11.5649  0.291854 0.319124
18187.1 0.790642 -24.6751  0.293209 0.314782
17764.5 12.7594 -10.013  0.301688 0.315674
18575.7 25.5663 -11.1087  0.285622 0.312432
17394 4.69407 49.9938  0.309321 0.312006
14392.8 13.0426 25.7869  0.378736 0.31135
18359.8 -25.0059 57.8123  0.289813 0.306431
18092.8 22.1479 47.4678  0.29508 0.307876
18243 -15.2446 24.0362  0.292104 0.307732
18643.1 -56.7928 20.8959  0.284326 0.308075
20241.2 -8.62151 17.4105  0.255269 0.302688
15284 -23.4947 9.19876  0.356637 0.307808
17500.9 -54.6028 -7.38855  0.307099 0.308148
18757.9 -9.26947 -4.4795  0.282133 0.305167
17557.2 -26.9406 -10.9651  0.305935 0.307232
17620.4 -9.98154 -23.4353  0.304634 0.307221
18375.7 -59.5334 -9.09488  0.289502 0.306481
19393.9 -13.1534 -3.42699  0.270284 0.304146
19062.7 -41.0724 21.0233  0.27639 0.303561
17953.9 -38.9776 -9.88781  0.297857 0.30423
20605.3 -39.5587 3.78476  0.249075 0.296922
17616.5 -11.3086 -1.52752  0.304713 0.297877
19147.5 -6.91352 -49.0112  0.274813 0.295582
19923.5 -36.0184 -25.1972  0.260798 0.293011
