/home/jaredmales/Source/Magellan/visao_base/calib/visao/reconstructor/RecMats/Rec_20111125_165625.fits
15659.6 42.7966 -16.0627  0.347716 0.363045
17212.5 62.9741 -44.782  0.313133 0.358084
15402.4 48.1018 -16.3349  0.353801 0.353863
14690.9 53.2513 15.4075  0.371196 0.349322
14683.7 70.915 0.18465  0.371377 0.345425
14957.8 30.6899 5.78501  0.364573 0.341978
14999.6 11.4958 41.6968  0.363546 0.33885
16926.9 -4.09794 21.0489  0.319225 0.335336
15795.3 23.8641 0.159008  0.344547 0.332144
15987.3 10.1091 25.2331  0.340112 0.32905
17567 3.99709 29.113  0.305732 0.326004
16509.1 23.2339 3.3543  0.328349 0.325006
16632.4 30.4477 -4.91413  0.325629 0.320346
15754.9 25.6232 39.1023  0.345488 0.318748
16264.3 7.43613 39.0165  0.333816 0.318653
17016.8 31.678 11.3175  0.317294 0.31532
17329 3.08271 -13.0738  0.310681 0.312932
17358.6 1.62528 21.097  0.310063 0.309632
16442.7 21.5955 28.3438  0.329824 0.308627
17945.6 50.911 8.84052  0.298023 0.304679
17438.3 39.7408 4.5295  0.3084 0.303441
14945.9 15.2784 -10.2223  0.364864 0.302903
18184.7 9.18217 13.4351  0.293255 0.298323
19928.2 45.6499 -14.1883  0.260716 0.294815
19886.5 11.0728 -11.7093  0.26145 0.29204
19877.8 6.13342 -5.57259  0.261604 0.287804
17708.5 4.73465 -20.8274  0.302828 0.287469
18694.9 16.9238 -15.2499  0.283333 0.281434
19741.7 35.5574 -8.87632  0.264017 0.275585
15843 7.59686 20.6834  0.34344 0.27725
17800 35.3441 18.9469  0.300965 0.272548
17503.3 28.9073 -7.12181  0.30705 0.271707
18884.6 15.8837 38.3979  0.279732 0.269322
18393.1 -10.0301 44.1712  0.289162 0.27036
19000.5 8.84099 12.2326  0.277553 0.271138
16986.1 17.9731 -0.120074  0.317952 0.274678
16947.3 0.377966 24.3332  0.318785 0.277585
16448.7 -2.04431 12.207  0.329691 0.280749
18146.1 37.2164 -44.517  0.294019 0.284062
18925.3 32.9148 -35.2404  0.278964 0.285486
19430 21.3708 -8.77  0.269626 0.283603
18210 46.2536 -39.8153  0.292756 0.287942
16671.3 -1.91774 5.08818  0.324775 0.29107
16266.7 -18.2426 25.7644  0.333762 0.291666
17772.2 8.29321 -4.32379  0.30153 0.290371
17049.7 15.6102 -7.7146  0.316591 0.289384
16916.5 -2.80912 29.1682  0.319449 0.291268
17929.7 40.0213 9.31383  0.298344 0.2925
17739.2 44.3315 -0.757712  0.302203 0.290082
15996.7 6.00035 2.69767  0.339898 0.295613
17353.9 40.8149 -0.560928  0.310161 0.296331
18270 57.0153 -5.11237  0.291573 0.297552
16771.8 26.5833 14.4389  0.322582 0.299132
16957.9 65.914 -10.0578  0.318558 0.300438
16002 37.9076 -13.5428  0.339776 0.301137
16171.6 0.672381 7.48297  0.33591 0.30315
16337.9 4.12031 -32.2185  0.332164 0.304725
14222.9 -15.4743 -30.5626  0.383101 0.311782
15038.4 -43.805 -15.7023  0.362595 0.315609
14736 -15.2439 -19.4236  0.370068 0.320636
15622.9 27.3225 -21.0267  0.348577 0.323456
14123 11.7785 -7.50532  0.385693 0.329503
17123.2 -5.6096 4.25387  0.315024 0.331183
15412.7 23.1704 4.34749  0.353555 0.338419
14711.3 30.0702 -3.09851  0.370685 0.342694
15913.2 -7.60586 24.6948  0.341818 0.343958
17531.1 10.618 22.6438  0.306476 0.343494
16778.5 29.244 -6.3457  0.322436 0.342276
14041.3 9.41801 -23.9383  0.387823 0.342023
14960 3.29308 12.5424  0.364519 0.341118
14872.5 13.0479 -3.60382  0.366677 0.340622
15146.9 58.3187 -23.1686  0.359951 0.337436
15585.9 20.3905 -30.9419  0.349449 0.335965
14658.8 -8.50279 1.31776  0.372 0.335896
14197.2 -5.05314 -30.9346  0.383766 0.337938
13405.9 11.2489 -22.5812  0.404808 0.342435
15063.9 -11.4431 -3.86592  0.361972 0.342156
13843.1 -10.9117 -11.1012  0.393045 0.348777
11925.1 8.35064 -18.2591  0.447335 0.357394
13764.1 15.8261 -17.5439  0.395145 0.363059
13784.9 19.5248 6.85243  0.394591 0.367065
13005.7 13.4252 17.7059  0.415887 0.376835
13813.4 41.6996 -9.43725  0.393834 0.379385
12891.3 9.10431 -26.9411  0.419109 0.384112
14471.9 -33.0115 5.88891  0.37672 0.386654
14063.4 -22.8191 -17.113  0.387245 0.389862
13213.2 11.1562 -40.1649  0.410105 0.391044
14567.8 11.1377 -58.0873  0.374291 0.386249
12581.6 -10.493 -34.3182  0.427955 0.389355
13862.2 1.7697 -19.1808  0.392538 0.387407
13995.1 22.1106 -42.6513  0.389035 0.385725
12130.4 21.8981 -19.3587  0.441181 0.387572
13537.9 11.3601 -7.02883  0.401221 0.384483
12227.6 3.19802 -10.7706  0.438298 0.386088
12069.4 23.5947 -34.7171  0.443002 0.387526
12134.1 10.8065 -5.29795  0.441071 0.392609
13699.9 -7.22278 3.80916  0.396859 0.39259
14250.8 22.0877 -14.9095  0.382381 0.391508
13358.5 5.74938 -31.9678  0.406105 0.396649
13541.5 -9.82837 7.50889  0.401123 0.397906
13827.2 -13.6233 -8.31181  0.393467 0.396512
14419.2 22.2128 2.40076  0.378063 0.395289
12097.9 28.7644 -14.6381  0.442151 0.395477
13547.8 7.45559 -22.6353  0.400951 0.393821
13975.3 -7.29503 -20.4866  0.389554 0.389977
12768.1 14.969 -42.177  0.422605 0.387649
14539.2 33.4057 -30.8017  0.375015 0.384619
14588.2 8.23084 -48.6024  0.373778 0.378847
14496.8 21.2755 -58.0335  0.376089 0.377133
14679.2 20.2675 -44.0213  0.371488 0.374132
14523.8 21.1797 -25.8611  0.375404 0.368834
13630.1 9.78489 -6.07639  0.398732 0.369572
14105.4 4.31072 -33.4168  0.38615 0.366062
15635.5 2.29298 -41.9528  0.34828 0.361985
13183.5 -16.7145 -38.2718  0.410927 0.363235
12235.7 -12.3976 -14.8212  0.438059 0.366734
13855.8 13.7942 -21.3593  0.392708 0.366131
14610.3 16.518 -15.5701  0.37322 0.364279
13755.7 16.4531 -6.28568  0.395369 0.366123
13947.2 -4.46863 -10.0669  0.390293 0.367649
14019.7 1.13661 -8.52344  0.38839 0.370112
14081 29.2026 15.9618  0.386787 0.368939
14177.1 23.9349 6.44848  0.384288 0.372074
13005.8 13.2008 -17.6386  0.415884 0.376027
15118.3 48.5399 -25.1001  0.360646 0.372688
13822.8 15.1344 -31.3782  0.393584 0.375725
14828.1 36.3667 -20.8857  0.367777 0.373588
14178.2 34.7134 -25.0109  0.384258 0.372158
15023.3 19.2005 -46.7669  0.362966 0.368952
14127 -9.27305 -29.7455  0.385589 0.36736
13598.5 -23.8282 -30.4042  0.399582 0.365431
14487.1 -5.67571 -27.6978  0.376334 0.363435
14924.6 -19.2667 -29.2161  0.36539 0.363025
13800.1 -20.3218 -26.3013  0.394187 0.36069
14167.9 -5.15836 -37.5816  0.384527 0.359019
14464.7 7.4496 -33.1502  0.376904 0.360826
13356.3 16.5826 -15.7642  0.406165 0.363788
15843.5 1.97136 9.58321  0.343428 0.359905
13550 15.5408 -5.3984  0.400893 0.362571
15079.7 9.43652 -11.2678  0.361588 0.36121
13205.1 24.8717 9.48801  0.410329 0.363919
14000.4 16.6073 12.3006  0.388895 0.364456
14019.7 19.2475 15.9152  0.38839 0.363904
13782.6 50.5535 0.29468  0.39465 0.367803
13921.3 28.6586 -16.1206  0.390977 0.367325
