17422.9 282.576 300.523  0.30872 0.336447
16846.1 1194.43 192.768  0.32097 0.339023
17088 25.2589 106.155  0.315774 0.336767
15519.7 244.157 1.86351  0.351012 0.33867
18429.5 186.427 0.428596  0.288453 0.334673
16858.9 101.282 120.745  0.320692 0.334089
19662.3 0.353195 932.28  0.265434 0.328484
16702.7 39.7438 3769.05  0.32409 0.32566
16530.2 213.028 1999.07  0.327881 0.326562
19574.3 3309.59 347.177  0.267014 0.321258
16635.4 0.523458 278.489  0.325564 0.318938
18682.8 14.6408 491.607  0.283565 0.315923
16242.2 334.997 75.341  0.334314 0.315162
18619.3 50.8512 20.6592  0.284783 0.311125
13041.9 2277.47 660.478  0.414871 0.317939
16673.1 549.471 64.6043  0.324737 0.317097
17246.1 2.40193 936.323  0.312424 0.317456
15942.2 13.1932 4124.84  0.34115 0.320994
20633 1362.5 1417.22  0.248611 0.316405
20397.1 768.738 1488.18  0.252598 0.317235
20743.3 0.157244 1523.54  0.246767 0.313761
18497.2 6.80006 2684.26  0.287138 0.315321
22161.3 61.5871 512.822  0.224256 0.309048
18175.7 978.15 838.503  0.293433 0.305244
20259.2 624.24 42.6739  0.254959 0.301615
16460.3 0.177554 76.9456  0.329431 0.298436
16751.2 17.578 9.90024  0.323031 0.29703
21505.4 50.5338 487.262  0.234402 0.288414
20288.5 76.2165 975.522  0.254456 0.288517
17824.7 355.434 750.238  0.300465 0.283129
16109.3 362.873 108.144  0.337325 0.28414
16210.1 579.116 340.395  0.33504 0.286669
16916.6 15.4514 1779.44  0.319445 0.286172
18832.5 850.471 865.822  0.280715 0.289121
18335.1 42.6774 1042.46  0.290296 0.292706
17743.7 136.22 324.104  0.30211 0.297454
16199.1 882.066 314.734  0.335289 0.299955
16127.7 112.028 655.203  0.336907 0.306289
20208.4 1673 4363.2  0.255835 0.304053
17110.7 42.4795 3695.77  0.315291 0.3096
16846.5 466.882 65.4634  0.32096 0.310249
14181.5 839.247 148.416  0.384173 0.312604
15947.6 131.487 4.58371  0.341025 0.316299
19135.5 274.504 4.92952  0.275038 0.317363
17561.9 9.37837 271.681  0.305839 0.319635
17078.3 5.61221 1290.09  0.31598 0.319929
14894.9 2318.66 2734.26  0.366124 0.322611
19270.7 509.022 3230.06  0.272539 0.319507
18256.3 475.055 1908.34  0.291843 0.320942
16508.8 174.726 183.344  0.328357 0.322917
19615.1 74.2012 54.3804  0.266281 0.320722
18255.7 77.3802 133.747  0.291854 0.319124
18187.1 0.625115 608.862  0.293209 0.314782
17764.5 162.803 100.26  0.301688 0.315674
18575.7 653.636 123.403  0.285622 0.312432
17394 22.0343 2499.38  0.309321 0.312006
14392.8 170.109 664.963  0.378736 0.31135
18359.8 625.294 3342.26  0.289813 0.306431
18092.8 490.532 2253.19  0.29508 0.307876
18243 232.397 577.738  0.292104 0.307732
18643.1 3225.42 436.639  0.284326 0.308075
20241.2 74.3304 303.124  0.255269 0.302688
15284 551.999 84.6173  0.356637 0.307808
17500.9 2981.47 54.5907  0.307099 0.308148
18757.9 85.9231 20.066  0.282133 0.305167
17557.2 725.795 120.234  0.305935 0.307232
17620.4 99.6312 549.212  0.304634 0.307221
18375.7 3544.23 82.7168  0.289502 0.306481
19393.9 173.012 11.7442  0.270284 0.304146
19062.7 1686.94 441.977  0.27639 0.303561
17953.9 1519.25 97.7687  0.297857 0.30423
20605.3 1564.89 14.3244  0.249075 0.296922
17616.5 127.884 2.33333  0.304713 0.297877
19147.5 47.7967 2402.1  0.274813 0.295582
19923.5 1297.32 634.901  0.260798 0.293011
17829.4 251.934 5.43302  0.300368 0.292167
16417.7 71.5228 647.218  0.330379 0.295759
19185 48.0681 1212.88  0.27412 0.290527
18680.9 1082.2 1806.2  0.283601 0.2894
17356.1 14.0454 27.7223  0.310115 0.291448
13841.3 1423.54 0.0753053  0.393091 0.296591
16834.3 21.1237 304.977  0.321224 0.297173
23061.7 1593.51 2.22758  0.211041 0.29444
18241.6 950.583 553.758  0.292132 0.298616
18656.5 1977.78 2873.46  0.284068 0.300316
18005.4 2978.54 320.422  0.296825 0.300282
15328.2 490.987 594.131  0.355575 0.306134
17371.4 9553.7 256.3  0.309794 0.305101
18486.4 910.279 352.232  0.287348 0.304988
21658.3 2916.4 193.692  0.231996 0.303512
14758.9 1079.32 712.793  0.369497 0.308485
15429.2 633.457 3281.14  0.353161 0.30747
19274.8 599.378 2513.42  0.272464 0.306189
14410.8 1575.31 815.656  0.378277 0.312182
14839.5 55.0995 1200.16  0.367493 0.316747
19280.4 951.123 170.735  0.272362 0.312258
16381.2 1744.29 50.1249  0.331195 0.313991
17359.8 4608.1 409.192  0.310037 0.32001
18265 776.598 90.3755  0.291671 0.320673
17885.4 805.314 604.839  0.299237 0.322093
16779.7 730.939 272.197  0.322409 0.324714
16373.9 6.83913 637.763  0.331357 0.323275
16048.6 2426.08 201.354  0.338709 0.32378
14902.8 230.274 29.3402  0.365927 0.32524
16920.9 1756.08 2492.94  0.319354 0.329323
15217.8 198.898 1241.15  0.358234 0.329628
16178.8 143.458 170.78  0.335748 0.327739
16460.5 2532.44 4.08623  0.329428 0.332576
17811.2 4035.38 215.855  0.300738 0.33094
17238.4 401.138 17.721  0.312586 0.32909
15503 7.64175 80.1912  0.351409 0.334526
18049.7 294.032 407.053  0.295938 0.332552
14099.6 30.1258 5.69374  0.386303 0.336583
18370.6 266.082 478.236  0.289601 0.334527
15437.3 1208.89 7.03079  0.35297 0.337419
19345.3 27.4179 1334.02  0.271172 0.333596
17011.8 4.11143 0.232488  0.317401 0.333264
14385.2 235.778 202.927  0.37893 0.335359
16218.4 300.278 11.7985  0.334852 0.332173
16205.8 0.86051 865.227  0.335137 0.333552
17128.7 1398.16 41.4128  0.314909 0.331728
16180.1 0.0067843 256.883  0.335717 0.332589
18877.5 3005.93 857.697  0.279865 0.329718
14728.1 954.763 622.096  0.370266 0.333882
15355.5 1355.09 110.926  0.354921 0.335687
17739.1 656.866 80.3512  0.302204 0.332242
20440.2 132.738 70.8644  0.251865 0.331823
16974.9 1750.27 2.68373  0.318193 0.328733
15195.6 1357 160.912  0.358771 0.332202
16616.5 0.256845 635.014  0.325979 0.328226
16428.1 1506.76 245.642  0.330147 0.330085
16805.4 981.541 856.685  0.321852 0.330495
20647.7 36.1498 2875.81  0.248363 0.323643
16749 0.0169342 29.7549  0.323077 0.32419
18422.2 6.02326 170.727  0.288594 0.320796
17237.5 333.69 15.4122  0.312605 0.320667
15881.4 239.394 319.738  0.342551 0.319271
17741.8 2213.59 548.347  0.30215 0.320118
15838 628.489 1232.11  0.343556 0.319502
20157.8 247.106 2615.83  0.256709 0.313698
16240.9 3140.68 3701.87  0.334344 0.314999
14463.9 73.4169 513.509  0.376923 0.320546
20377.3 463.049 197.126  0.252935 0.316932
22402.4 780.083 1214.2  0.220638 0.311573
16433.7 667.823 419.55  0.330024 0.313705
19728.7 4.70691 42.5874  0.264248 0.309723
21235.3 148.971 5119.65  0.238712 0.30404
16287.2 2230.89 608.862  0.333301 0.308065
14584.3 676.681 63.3646  0.373875 0.307751
19104.3 994.124 38.6159  0.275616 0.3044
17733.3 1143.11 8.16139  0.302322 0.304323
18330.4 217.426 0.75336  0.290388 0.301209
17854.6 2726.52 21.6313  0.299859 0.302189
14886.2 892.281 71.8606  0.366338 0.302962
16134.6 6012.28 295.075  0.33675 0.30751
13911.5 206.803 4.19685  0.391233 0.313479
